iter	Passed	Remaining
0	56	56365
1	56	28327
2	57	18960
3	57	14281
4	57	11477
5	58	9615
6	58	8279
7	58	7288
8	59	6507
9	59	5884
10	59	5374
11	60	4947
12	60	4590
13	60	4280
14	61	4016
15	61	3781
16	61	3574
17	62	3389
18	62	3221
19	62	3070
20	63	2973
21	64	2847
22	64	2732
23	64	2628
24	64	2532
25	65	2443
26	65	2360
27	65	2283
28	66	2211
29	66	2144
30	66	2081
31	66	2023
32	67	1968
33	67	1916
34	67	1867
35	68	1821
36	68	1778
37	68	1738
38	68	1699
39	69	1662
40	69	1627
41	69	1593
42	70	1560
43	70	1530
44	70	1500
45	70	1471
46	71	1446
47	71	1420
48	71	1395
49	72	1371
50	72	1348
51	72	1326
52	73	1305
53	73	1285
54	73	1264
55	73	1245
56	74	1227
57	74	1208
58	74	1191
59	74	1174
60	75	1158
61	75	1142
62	75	1128
63	76	1115
64	76	1100
65	76	1086
66	77	1073
67	77	1059
68	77	1046
69	77	1034
70	78	1021
71	78	1010
72	78	999
73	78	987
74	79	976
75	79	965
76	79	955
77	79	945
78	80	935
79	80	925
80	80	917
81	81	907
82	81	897
83	81	887
84	81	879
85	81	871
86	82	862
87	82	854
88	82	846
89	82	839
90	83	831
91	83	823
92	83	816
93	83	809
94	84	801
95	84	795
96	84	789
97	85	782
98	85	776
99	85	770
100	85	763
101	86	757
102	86	751
103	86	746
104	86	740
105	87	735
106	87	729
107	87	724
108	87	718
109	88	713
110	88	708
111	88	703
112	89	698
113	89	693
114	89	689
115	89	684
116	89	678
117	90	674
118	90	669
119	90	664
120	90	660
121	91	655
122	91	651
123	91	647
124	91	643
125	92	638
126	92	634
127	92	630
128	92	626
129	93	622
130	93	618
131	93	615
132	93	611
133	94	608
134	94	604
135	94	601
136	94	597
137	95	594
138	95	590
139	95	587
140	95	584
141	96	580
142	96	577
143	96	574
144	96	571
145	97	568
146	97	565
147	97	562
148	97	559
149	98	556
150	98	553
151	98	550
152	98	547
153	99	545
154	99	543
155	99	540
156	100	537
157	100	535
158	100	532
159	100	530
160	101	526
161	101	524
162	101	521
163	101	519
164	102	516
165	102	514
166	102	511
167	103	512
168	103	510
169	104	507
170	104	505
171	104	503
172	104	500
173	104	498
174	105	496
175	105	493
176	105	491
177	105	489
178	106	487
179	106	485
180	106	483
181	107	481
182	107	479
183	107	477
184	107	475
185	108	473
186	108	471
187	108	469
188	108	467
189	109	465
190	109	463
191	109	461
192	109	459
193	110	457
194	110	455
195	110	453
196	110	451
197	111	449
198	111	448
199	111	446
200	111	444
201	112	442
202	112	440
203	112	439
204	112	437
205	113	435
206	113	434
207	113	432
208	113	430
209	114	429
210	114	427
211	114	426
212	114	424
213	115	423
214	115	421
215	115	419
216	115	418
217	116	416
218	116	414
219	116	413
220	116	411
221	117	410
222	117	408
223	117	407
224	117	405
225	118	404
226	118	403
227	118	401
228	118	400
229	119	399
230	119	397
231	119	396
232	120	395
233	120	393
234	120	392
235	120	390
236	121	389
237	121	388
238	121	386
239	121	385
240	122	384
241	122	383
242	122	381
243	122	380
244	123	379
245	123	378
246	123	377
247	123	375
248	124	374
249	124	373
250	124	372
251	125	371
252	125	369
253	125	368
254	125	367
255	126	366
256	126	365
257	126	364
258	126	363
259	127	361
260	127	360
261	127	359
262	127	358
263	128	357
264	128	356
265	128	355
266	128	353
267	129	352
268	129	351
269	129	350
270	129	349
271	130	348
272	130	347
273	130	346
274	131	345
275	131	344
276	131	343
277	131	342
278	132	341
279	132	340
280	132	339
281	132	338
282	133	337
283	133	336
284	133	335
285	133	334
286	134	333
287	134	332
288	134	331
289	134	330
290	135	329
291	135	328
292	135	327
293	135	326
294	136	325
295	136	324
296	136	323
297	137	323
298	137	322
299	137	321
300	137	320
301	138	319
302	138	318
303	138	317
304	139	316
305	139	315
306	139	314
307	139	314
308	140	313
309	140	312
310	140	311
311	140	310
312	141	309
313	141	308
314	141	307
315	141	306
316	142	306
317	142	305
318	142	304
319	142	303
320	143	302
321	143	301
322	143	300
323	143	300
324	144	299
325	144	298
326	144	297
327	144	296
328	145	296
329	145	295
330	145	294
331	146	293
332	146	293
333	146	292
334	146	291
335	147	290
336	147	289
337	147	289
338	147	288
339	148	287
340	148	286
341	148	285
342	148	285
343	149	284
344	149	283
345	149	282
